COMPANY_ID,NAME,PAY_GROUP_ID,Pay Period,Pay Period Begin Date,Pay Period End Date,Deduction Cutoff Date,File Run Date
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,1,26-DEC-22,08-JAN-23,08-JAN-23,08-JAN-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,2,09-JAN-23,22-JAN-23,22-JAN-23,22-JAN-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,3,23-JAN-23,05-FEB-23,05-FEB-23,03-FEB-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,4,06-FEB-23,19-FEB-23,19-FEB-23,19-FEB-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,5,20-FEB-23,05-MAR-23,05-MAR-23,05-MAR-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,6,06-MAR-23,19-MAR-23,19-MAR-23,19-MAR-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,7,20-MAR-23,02-APR-23,02-APR-23,02-APR-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,8,03-APR-23,16-APR-23,16-APR-23,16-APR-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,9,17-APR-23,30-APR-23,30-APR-23,30-APR-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,10,01-MAY-23,14-MAY-23,14-MAY-23,14-MAY-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,11,15-MAY-23,28-MAY-23,28-MAY-23,28-MAY-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,12,29-MAY-23,11-JUN-23,11-JUN-23,11-JUN-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,13,12-JUN-23,25-JUN-23,25-JUN-23,25-JUN-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,14,26-JUN-23,09-JUL-23,09-JUL-23,09-JUL-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,15,10-JUL-23,23-JUL-23,23-JUL-23,23-JUL-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,16,24-JUL-23,06-AUG-23,06-AUG-23,06-AUG-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,17,07-AUG-23,20-AUG-23,20-AUG-23,20-AUG-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,18,21-AUG-23,03-SEP-23,03-SEP-23,03-SEP-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,19,04-SEP-23,17-SEP-23,17-SEP-23,17-SEP-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,20,18-SEP-23,01-OCT-23,01-OCT-23,01-OCT-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,21,02-OCT-23,15-OCT-23,15-OCT-23,15-OCT-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,22,16-OCT-23,29-OCT-23,29-OCT-23,29-OCT-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,23,30-OCT-23,12-NOV-23,12-NOV-23,12-NOV-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,24,13-NOV-23,26-NOV-23,26-NOV-23,26-NOV-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,25,27-NOV-23,10-DEC-23,10-DEC-23,10-DEC-23
4049,MERCEDESBENZ US INTERNATIONAL INC,01B0000023,26,11-DEC-23,24-DEC-23,24-DEC-23,24-DEC-23
4349,GERDAU,01B0000261,1,19-DEC-22,01-JAN-23,02-JAN-23,01-JAN-23
4349,GERDAU,01B0000261,2,02-JAN-23,15-JAN-23,15-JAN-23,12-JAN-23
4349,GERDAU,01B0000261,3,16-JAN-23,29-JAN-23,29-JAN-23,26-JAN-23
4349,GERDAU,01B0000261,4,30-JAN-23,12-FEB-23,12-FEB-23,09-FEB-23
4349,GERDAU,01B0000261,5,13-FEB-23,26-FEB-23,26-FEB-23,23-FEB-23
4349,GERDAU,01B0000261,6,27-FEB-23,12-MAR-23,12-MAR-23,09-MAR-23
4349,GERDAU,01B0000261,7,13-MAR-23,26-MAR-23,26-MAR-23,23-MAR-23
4349,GERDAU,01B0000261,8,27-MAR-23,09-APR-23,09-APR-23,06-APR-23
4349,GERDAU,01B0000261,9,10-APR-23,23-APR-23,23-APR-23,20-APR-23
4349,GERDAU,01B0000261,10,24-APR-23,07-MAY-23,07-MAY-23,04-MAY-23
4349,GERDAU,01B0000261,11,08-MAY-23,21-MAY-23,21-MAY-23,18-MAY-23
4349,GERDAU,01B0000261,12,22-MAY-23,04-JUN-23,04-JUN-23,01-JUN-23
4349,GERDAU,01B0000261,13,05-JUN-23,18-JUN-23,18-JUN-23,15-JUN-23
4349,GERDAU,01B0000261,14,19-JUN-23,02-JUL-23,02-JUL-23,29-JUN-23
4349,GERDAU,01B0000261,15,03-JUL-23,16-JUL-23,16-JUL-23,06-JUL-23
4349,GERDAU,01B0000261,16,17-JUL-23,30-JUL-23,30-JUL-23,20-JUL-23
4349,GERDAU,01B0000261,17,31-JUL-23,13-AUG-23,13-AUG-23,03-AUG-23
4349,GERDAU,01B0000261,18,14-AUG-23,27-AUG-23,27-AUG-23,17-AUG-23
4349,GERDAU,01B0000261,19,28-AUG-23,10-SEP-23,10-SEP-23,31-AUG-23
4349,GERDAU,01B0000261,20,11-SEP-23,24-SEP-23,24-SEP-23,14-SEP-23
4349,GERDAU,01B0000261,21,25-SEP-23,08-OCT-23,08-OCT-23,28-SEP-23
4349,GERDAU,01B0000261,22,09-OCT-23,22-OCT-23,22-OCT-23,12-OCT-23
4349,GERDAU,01B0000261,23,23-OCT-23,05-NOV-23,05-NOV-23,26-OCT-23
4349,GERDAU,01B0000261,24,06-NOV-23,19-NOV-23,19-NOV-23,09-NOV-23
4349,GERDAU,01B0000261,25,20-NOV-23,03-DEC-23,03-DEC-23,21-NOV-23
4349,GERDAU,01B0000261,26,04-DEC-23,17-DEC-23,17-DEC-23,07-DEC-23
