COMPANY_ID,MERCER_ONECODE,OG_FUTURE_DATED_EVENTS_IND,YEAR_BEGIN_DATE,YEAR_END_DATE
25085,TOSH08,Y,01-JAN-23,31-DEC-23
17972,TELE18,Y,01-JAN-23,31-DEC-23
4471,AHOLD1,Y,01-JAN-23,31-DEC-23
26839,,,01-MAR-23,29-FEB-24
28798,MARS18,Y,01-JAN-23,31-DEC-23
4631,UMPQUA,Y,01-JAN-23,31-DEC-23
30975,,,01-JUL-23,30-JUN-24
6452,RECU11,Y,01-JAN-23,31-DEC-23
23557,NATU30,Y,01-JAN-23,31-DEC-23
27123,,,01-JUL-23,30-JUN-24
28557,DRIL09,Y,01-JAN-23,31-DEC-23
24954,WSFS01,Y,01-JAN-23,31-DEC-23
30376,KEND52,Y,01-JUN-23,31-MAY-24
5291,,,01-JAN-23,31-DEC-23
5332,,,01-JAN-23,31-DEC-23
11873,BENB01,Y,01-JUN-23,31-DEC-23
25079,RADG01,Y,01-JAN-23,31-DEC-23
6035,,,01-JAN-23,30-JAN-23
27801,RODD01,Y,01-JAN-23,31-DEC-23
5451,ZERO11,Y,01-JAN-23,30-JAN-23
6132,PROS69,Y,01-JAN-23,30-JAN-23
3150,JUST39,Y,01-JAN-23,30-JAN-23
4134,MALA55,Y,01-JAN-23,31-DEC-23
6512,DBRIDA,Y,01-JAN-23,31-DEC-23
4951,WINN20,Y,01-JAN-23,31-DEC-23
5792,CEDA09,Y,01-JAN-23,31-DEC-23
4911,SEITAM,Y,01-JAN-23,30-JAN-23
25201,CELL09,Y,01-JAN-23,31-DEC-23
5153,CLRCLT,Y,01-JAN-23,31-DEC-23
5611,CBLVIS,Y,01-JAN-23,31-DEC-23
28875,NEME08,Y,01-JAN-23,31-DEC-23
27915,,,01-AUG-23,31-JUL-24
28736,KEI01H,Y,01-JAN-23,31-DEC-23
28036,RDOL01,Y,01-JAN-23,31-DEC-23
4231,,,01-JAN-23,30-JAN-23
16472,NETS12,Y,01-JAN-23,31-DEC-23
27921,MCGR19,Y,01-JAN-23,31-DEC-23
